,agency,firename,lat,lon,startdate,hectares,stage_of_control,timezone,response_type,timestamp
613,ab,PWF-090-2023,57.0219,-116.25, 2023-07-06 22:41:00,49.4, BH, MDT, FUL,2023-07-17 04:43:01
614,bc,2023-R11236,54.1462,-126.014, 2023-07-08 03:07:00,0.01, UC, PDT, FUL,2023-07-17 04:43:01
615,bc,2023-R21621,55.1138,-125.954, 2023-07-13 01:54:00,0.1, OC, PDT, FUL,2023-07-17 04:43:01
616,bc,2023-R21622,55.0673,-125.878, 2023-07-13 01:58:00,20.0, OC, PDT, FUL,2023-07-17 04:43:01
617,bc,2023-G11293,53.4815,-123.847, 2023-07-08 20:50:00,2500.0, OC, PDT, FUL,2023-07-17 04:43:01
618,bc,2023-G11297,53.6476,-123.326, 2023-07-08 22:36:00,0.5, UC, PDT, FUL,2023-07-17 04:43:01
619,bc,2023-G11372,54.7235,-123.327, 2023-07-09 05:18:00,1.1, OC, PDT, FUL,2023-07-17 04:43:01
620,bc,2023-G11447,53.6715,-122.142, 2023-07-10 02:05:00,2.0, UC, PDT, FUL,2023-07-17 04:43:01
621,bc,2023-G11472,53.5957,-123.226, 2023-07-10 04:47:00,0.01, OC, PDT, FUL,2023-07-17 04:43:01
622,bc,2023-K71318,50.6185,-122.371, 2023-07-09 00:10:00,0.01, UC, PDT, FUL,2023-07-17 04:43:01
623,bc,2023-K71325,50.6325,-122.365, 2023-07-09 00:22:00,0.01, UC, PDT, FUL,2023-07-17 04:43:01
624,qc,621,52.6203,-77.0033, 2023-07-11 22:08:00,715.6, OC, EDT, MON,2023-07-17 04:43:01
625,bc,2023-G41035,53.7139,-124.686, 2023-07-01 20:51:00,1.88, UC, PDT, FUL,2023-07-17 04:43:01
626,bc,2023-G11147,54.262,-123.635, 2023-07-05 23:51:00,2.4, UC, PDT, FUL,2023-07-17 04:43:01
627,bc,2023-G31351,53.4684,-120.673, 2023-07-09 02:39:00,1.1, OC, PDT, FUL,2023-07-17 04:43:01
628,bc,2023-G11526,53.4397,-121.796, 2023-07-11 01:38:00,0.01, OC, PDT, FUL,2023-07-17 04:43:01
629,bc,2023-G81530,57.436,-120.211, 2023-07-11 04:41:00,354.0, OC, PDT, FUL,2023-07-17 04:43:01
630,bc,2023-R11170,53.6375,-125.922, 2023-07-07 02:49:00,0.1, UC, PDT, FUL,2023-07-17 04:43:01
631,bc,2023-R11172,53.6611,-125.958, 2023-07-07 03:16:00,0.01, UC, PDT, FUL,2023-07-17 04:43:01
632,bc,2023-R11173,53.5977,-125.942, 2023-07-07 03:18:00,0.01, UC, PDT, FUL,2023-07-17 04:43:01
633,bc,2023-R11179,53.9798,-125.813, 2023-07-07 07:49:00,0.6, UC, PDT, FUL,2023-07-17 04:43:01
634,bc,2023-R41583,55.3177,-127.647, 2023-07-12 05:55:00,0.1, BH, PDT, FUL,2023-07-17 04:43:01
635,bc,2023-C11308,53.1903,-123.538, 2023-07-08 23:17:00,11.0, UC, PDT, FUL,2023-07-17 04:43:01
636,qc,625,52.8275,-76.7917, 2023-07-05 18:00:00,98.5, OC, EDT, MON,2023-07-17 04:43:01
637,ab,SWF-103-2023,56.8033,-115.089, 2023-06-21 22:36:00,40.5, UC, MDT, FUL,2023-07-17 04:43:01
638,qc,451,49.7681,-73.3861, 2023-06-06 17:26:00,1161.1, UC, EDT, FUL,2023-07-17 04:43:01
639,ab,MWF-024-2023,57.7123,-110.647, 2023-05-28 18:05:00,28454.0, BH, MDT, FUL,2023-07-17 04:43:01
640,bc,2023-C31365,52.4643,-120.735, 2023-07-09 03:51:00,0.2, OC, PDT, FUL,2023-07-17 04:43:01
641,on,NIP_FIRE_052,48.6945,-86.6419, 2023-07-12 20:30:00,9.8, OC, GMT, FUL,2023-07-17 04:43:01
642,bc,2023-C11314,52.9283,-124.821, 2023-07-08 23:54:00,0.09, OC, PDT, FUL,2023-07-17 04:43:01
643,bc,2023-C11319,52.971,-124.629, 2023-07-09 00:25:00,52.0, OC, PDT, FUL,2023-07-17 04:43:01
644,bc,2023-C11320,52.9904,-124.627, 2023-07-09 00:26:00,0.01, OC, PDT, FUL,2023-07-17 04:43:01
645,bc,2023-C11326,52.7808,-124.017, 2023-07-09 01:01:00,3.6, OC, PDT, FUL,2023-07-17 04:43:01
646,bc,2023-C11328,52.8238,-124.1, 2023-07-09 01:03:00,1.0, OC, PDT, FUL,2023-07-17 04:43:01
647,bc,2023-C11405,52.74,-125.036, 2023-07-09 22:31:00,476.0, OC, PDT, FUL,2023-07-17 04:43:01
648,bc,2023-C11407,52.7675,-125.049, 2023-07-09 22:46:00,0.01, OC, PDT, FUL,2023-07-17 04:43:01
649,qc,498,54.5289,-77.7439, 2023-06-21 13:00:00,29398.7, OC, EDT, MON,2023-07-17 04:43:01
650,bc,2023-C51597,52.3846,-125.035, 2023-07-12 20:36:00,0.3, UC, PDT, FUL,2023-07-17 04:43:01
651,bc,2023-R11277,54.4005,-125.469, 2023-07-08 17:53:00,2920.0, OC, PDT, FUL,2023-07-17 04:43:01
652,bc,2023-R11592,53.4714,-125.203, 2023-07-12 19:21:00,203.8, OC, PDT, FUL,2023-07-17 04:43:01
653,bc,2023-N41094,51.8237,-118.501, 2023-07-03 03:50:00,3.6, BH, PDT, FUL,2023-07-17 04:43:01
654,qc,449,49.2592,-74.985, 2023-06-05 20:00:00,46218.7, UC, EDT, FUL,2023-07-17 04:43:01
655,pc,2023WB2,59.3952,-112.452, 2023-05-28 20:27:16,33116.0, OC, MDT, MOD,2023-07-17 04:43:01
656,qc,501,54.4906,-77.3303, 2023-06-21 15:00:00,13400.0, OC, EDT, MON,2023-07-17 04:43:01
657,bc,2023-G60655,55.9945,-124.082, 2023-06-07 02:16:00,2993.0, BH, PDT, FUL,2023-07-17 04:43:01
658,bc,2023-G51652,56.262,-127.678, 2023-07-13 18:53:00,0.2, OC, PDT, MON,2023-07-17 04:43:01
659,qc,483,54.0569,-74.6378, 2023-06-15 12:13:00,409615.0, OC, EDT, MON,2023-07-17 04:43:01
660,qc,628,57.95,-67.4797, 2023-07-11 01:14:00,200.0, OC, EDT, MON,2023-07-17 04:43:01
661,qc,629,58.1375,-67.4728, 2023-07-11 01:14:00,0.1, OC, EDT, MON,2023-07-17 04:43:01
662,bc,2023-V31300,50.6978,-123.449, 2023-07-08 22:48:00,25.0, OC, PDT, MON,2023-07-17 04:43:01
663,bc,2023-R51656,53.7701,-128.338, 2023-07-13 04:51:00,20.0, OC, PDT, FUL,2023-07-17 04:43:01
664,bc,2023-G41189,53.0046,-125.367, 2023-07-07 20:21:00,1100.0, OC, PDT, FUL,2023-07-17 04:43:01
665,bc,2023-K21384,52.1458,-119.962, 2023-07-09 18:55:00,2172.0, OC, PDT, MOD,2023-07-17 04:43:01
666,qc,562,56.4439,-68.3453, 2023-07-02 21:13:00,1220.3, OC, EDT, MON,2023-07-17 04:43:01
667,qc,541,56.9339,-67.5817, 2023-07-03 00:25:00,254.4, OC, EDT, MON,2023-07-17 04:43:01
668,qc,618,56.9725,-67.3606, 2023-07-08 03:59:00,11094.0, OC, EDT, MON,2023-07-17 04:43:01
669,ab,SWF-068-2023,55.8778,-116.408, 2023-05-05 19:12:00,143039.0, OC, MDT, FUL,2023-07-17 04:43:01
670,bc,2023-R51657,54.8564,-129.092, 2023-07-13 20:51:00,1.1, OC, PDT, FUL,2023-07-17 04:43:01
671,bc,2023-G81157,57.4577,-120.529, 2023-07-06 22:02:00,1037.0, OC, PDT, FUL,2023-07-17 04:43:01
672,bc,2023-G11191,53.8862,-121.495, 2023-07-07 21:30:00,0.01, OC, PDT, MON,2023-07-17 04:43:01
673,bc,2023-G41425,53.6601,-123.737, 2023-07-10 00:32:00,7.5, OC, PDT, FUL,2023-07-17 04:43:01
674,bc,2023-G41493,53.2252,-124.906, 2023-07-10 20:45:00,3000.0, OC, PDT, FUL,2023-07-17 04:43:01
675,bc,2023-G41511,53.7755,-124.426, 2023-07-10 23:56:00,3000.0, OC, PDT, FUL,2023-07-17 04:43:01
676,bc,2023-G71539,55.9281,-120.661, 2023-07-11 15:22:00,1.92, UC, PDT, FUL,2023-07-17 04:43:01
677,bc,2023-K21607,50.811,-120.202, 2023-07-12 23:05:00,71.5, BH, PDT, FUL,2023-07-17 04:43:01
678,qc,548,56.8606,-66.1436, 2023-07-02 17:30:00,1114.3, OC, EDT, MON,2023-07-17 04:43:01
679,qc,554,56.9231,-66.0669, 2023-07-02 17:30:00,586.6, OC, EDT, MON,2023-07-17 04:43:01
680,pc,2023WB23,60.457,-113.851, 2023-07-04 22:16:14,5000.0, OC, MDT, MON,2023-07-17 04:43:01
681,pc,2023WB19,58.1625,-113.442, 2023-07-03 23:10:33,5000.0, OC, MDT, MON,2023-07-17 04:43:01
682,pc,2023WB18,59.762,-113.908, 2023-07-02 02:52:21,25000.0, OC, MDT, MON,2023-07-17 04:43:01
683,pc,2023WB17,59.835,-112.285, 2023-07-02 02:47:48,13.0, BH, MDT, MOD,2023-07-17 04:43:01
684,pc,2023WB14,58.96,-113.29, 2023-05-31 01:32:46,72945.0, OC, MDT, MOD,2023-07-17 04:43:01
685,pc,2023WB11,59.2167,-113.423, 2023-05-30 23:53:22,45249.0, OC, MDT, MON,2023-07-17 04:43:01
686,pc,2023WB7,59.6748,-112.425, 2023-05-29 22:09:23,72787.0, OC, MDT, MOD,2023-07-17 04:43:01
687,pc,2023WB9,58.8869,-113.232, 2023-05-29 21:07:31,1827.0, OC, MDT, MOD,2023-07-17 04:43:01
688,pc,2023WB8,58.9604,-112.99, 2023-05-29 19:03:21,4611.0, OC, MDT, MOD,2023-07-17 04:43:01
689,bc,2023-R21217,54.8934,-125.899, 2023-07-08 01:23:00,1424.0, OC, PDT, FUL,2023-07-17 04:43:01
690,bc,2023-R21225,54.0392,-126.826, 2023-07-08 02:03:00,86.0, OC, PDT, FUL,2023-07-17 04:43:01
691,bc,2023-R11282,53.5192,-125.853, 2023-07-08 18:33:00,3335.0, OC, PDT, FUL,2023-07-17 04:43:01
692,bc,2023-R11387,53.7504,-126.174, 2023-07-09 19:20:00,5972.0, OC, PDT, FUL,2023-07-17 04:43:01
693,bc,2023-R11388,53.4616,-126.101, 2023-07-09 19:24:00,2779.0, OC, PDT, FUL,2023-07-17 04:43:01
694,bc,2023-R31512,55.0104,-127.448, 2023-07-11 00:33:00,23.0, OC, PDT, FUL,2023-07-17 04:43:01
695,bc,2023-R51555,54.9494,-128.851, 2023-07-11 22:00:00,207.0, OC, PDT, FUL,2023-07-17 04:43:01
696,bc,2023-R21609,55.0409,-125.894, 2023-07-12 16:24:00,168.0, OC, PDT, FUL,2023-07-17 04:43:01
697,bc,2023-K41410,51.1228,-119.341, 2023-07-09 22:47:00,7.4, UC, PDT, FUL,2023-07-17 04:43:01
698,qc,519,49.9167,-79.4, 2023-06-23 23:17:00,2181.9, UC, EDT, FUL,2023-07-17 04:43:01
699,ab,HWF-131-2023,59.4351,-119.933, 2023-07-13 21:59:00,4.0, OC, MDT, FUL,2023-07-17 04:43:01
700,ab,PWF-086-2023,56.7674,-118.533, 2023-07-01 20:54:00,0.02, UC, MDT, FUL,2023-07-17 04:43:01
701,pc,2023WB24,59.5512,-115.511, 2023-07-11 23:49:12,3500.0, OC, MDT, MON,2023-07-17 04:43:01
702,bc,2023-VA1167,52.8269,-125.772, 2023-07-07 01:53:00,85.0, OC, PDT, FUL,2023-07-17 04:43:01
703,bc,2023-VA1663,53.0308,-127.09, 2023-07-13 22:35:00,0.4, OC, PDT, MON,2023-07-17 04:43:01
704,bc,2023-VA1664,53.1551,-127.074, 2023-07-13 18:13:00,50.0, OC, PDT, MON,2023-07-17 04:43:01
705,bc,2023-R51245,53.8538,-128.594, 2023-07-08 04:10:00,200.0, OC, PDT, FUL,2023-07-17 04:43:01
706,bc,2023-G41644,53.6044,-125.293, 2023-07-13 05:44:00,190.0, OC, PDT, FUL,2023-07-17 04:43:01
707,bc,2023-C31143,52.6903,-121.364, 2023-07-05 23:24:00,109.0, OC, PDT, MOD,2023-07-17 04:43:01
708,bc,2023-C31442,52.6915,-120.828, 2023-07-10 01:42:00,43.71, OC, PDT, FUL,2023-07-17 04:43:01
709,bc,2023-R21250,54.4101,-126.415, 2023-07-08 04:46:00,204.0, OC, PDT, FUL,2023-07-17 04:43:01
710,bc,2023-R31465,55.3867,-126.721, 2023-07-10 04:10:00,500.0, OC, PDT, FUL,2023-07-17 04:43:01
711,bc,2023-K71658,50.8034,-122.533, 2023-07-13 20:54:00,0.3, OC, PDT, FUL,2023-07-17 04:43:01
712,bc,2023-R90877,57.4801,-127.652, 2023-06-24 16:18:00,15000.0, OC, PDT, MOD,2023-07-17 04:43:01
713,bc,2023-R91162,59.6421,-129.594, 2023-07-07 00:33:00,40000.0, OC, PDT, FUL,2023-07-17 04:43:01
714,bc,2023-G71676,55.3148,-121.806, 2023-07-14 02:32:00,0.01, OC, PDT, FUL,2023-07-17 04:43:01
715,bc,2023-G71677,55.1574,-122.117, 2023-07-14 01:00:00,0.01, OC, PDT, FUL,2023-07-17 04:43:01
716,bc,2023-R11546,54.1573,-126.103, 2023-07-11 19:11:00,80.0, OC, PDT, FUL,2023-07-17 04:43:01
717,bc,2023-VA1306,52.3272,-126.082, 2023-07-08 21:25:00,25.0, OC, PDT, FUL,2023-07-17 04:43:01
718,bc,2023-R31585,55.0761,-126.766, 2023-07-12 06:15:00,200.0, OC, PDT, FUL,2023-07-17 04:43:01
719,bc,2023-G60666,55.9468,-124.545, 2023-06-08 02:14:00,48059.0, OC, PDT, FUL,2023-07-17 04:43:01
720,bc,2023-G50851,55.7977,-125.496, 2023-06-24 02:15:00,13813.0, OC, PDT, FUL,2023-07-17 04:43:01
721,bc,2023-G60853,55.2402,-123.67, 2023-06-24 02:48:00,19435.0, OC, PDT, FUL,2023-07-17 04:43:01
722,qc,574,54.6667,-77.4611, 2023-07-04 19:35:00,3845.3, OC, EDT, MON,2023-07-17 04:43:01
723,qc,504,54.4117,-76.0108, 2023-06-22 18:09:00,77426.0, OC, EDT, MON,2023-07-17 04:43:01
724,ab,LWF-163-2023,54.7463,-110.116, 2023-06-30 22:24:00,137.0, UC, MDT, FUL,2023-07-17 04:43:01
725,bc,2023-C31349,52.4453,-120.754, 2023-07-09 02:46:00,184.8, OC, PDT, FUL,2023-07-17 04:43:01
726,bc,2023-C11471,53.0117,-123.627, 2023-07-10 04:44:00,0.01, UC, PDT, FUL,2023-07-17 04:43:01
727,bc,2023-R11417,53.6205,-125.679, 2023-07-09 23:29:00,6.5, BH, PDT, FUL,2023-07-17 04:43:01
728,bc,2023-R41683,55.1469,-127.851, 2023-07-14 16:37:00,0.01, OC, PDT, FUL,2023-07-17 04:43:01
729,bc,2023-C11489,52.799,-122.079, 2023-07-10 02:49:00,25.0, OC, PDT, FUL,2023-07-17 04:43:01
730,yt,2023OT003,59.6354,-129.416, 2023-07-14 16:56:00,30000.0, OC, PDT, FUL,2023-07-17 04:43:01
731,bc,2023-G71678,55.5881,-121.782, 2023-07-14 02:46:00,0.06, UC, PDT, FUL,2023-07-17 04:43:01
732,bc,2023-G11504,54.0172,-123.439, 2023-07-10 22:36:00,10.7, UC, PDT, FUL,2023-07-17 04:43:01
733,bc,2023-C11437,53.296,-123.669, 2023-07-10 01:11:00,2700.0, OC, PDT, FUL,2023-07-17 04:43:01
734,bc,2023-R21178,54.3053,-126.761, 2023-07-07 06:17:00,782.0, OC, PDT, FUL,2023-07-17 04:43:01
735,bc,2023-R21234,54.0151,-126.384, 2023-07-08 02:37:00,6230.0, OC, PDT, FUL,2023-07-17 04:43:01
736,bc,2023-R11244,54.2352,-125.643, 2023-07-08 04:05:00,8514.0, OC, PDT, FUL,2023-07-17 04:43:01
737,yt,2023MA005,63.5218,-136.665, 2023-07-07 00:48:00,3690.0, OC, PDT, FUL,2023-07-17 04:43:01
738,bc,2023-V11221,49.9909,-121.386, 2023-07-08 01:50:00,0.1, OC, PDT, FUL,2023-07-17 04:43:01
739,bc,2023-V11254,49.2159,-121.424, 2023-07-08 05:02:00,0.9, UC, PDT, FUL,2023-07-17 04:43:01
740,bc,2023-V11332,49.889,-121.598, 2023-07-09 01:31:00,8.0, OC, PDT, MON,2023-07-17 04:43:01
741,bc,2023-V91508,51.2033,-127.523, 2023-07-10 23:12:00,1.5, OC, PDT, MOD,2023-07-17 04:43:01
742,bc,2023-VA1638,52.7022,-126.499, 2023-07-13 04:06:00,85.0, OC, PDT, FUL,2023-07-17 04:43:01
743,bc,2023-K21628,50.8792,-120.044, 2023-07-13 03:02:00,0.55, UC, PDT, FUL,2023-07-17 04:43:01
744,bc,2023-N71690,50.6605,-116.942, 2023-07-14 20:43:00,13.0, BH, PDT, MOD,2023-07-17 04:43:01
745,bc,2023-V11152,49.3115,-122.244, 2023-07-06 03:55:00,150.0, OC, PDT, FUL,2023-07-17 04:43:01
746,bc,2023-R90857,57.3586,-129.028, 2023-06-24 02:58:00,550.0, OC, PDT, MOD,2023-07-17 04:43:01
747,bc,2023-R21630,54.1202,-126.888, 2023-07-13 02:54:00,220.0, OC, PDT, FUL,2023-07-17 04:43:01
