,agency,firename,lat,lon,startdate,hectares,stage_of_control,timestamp
113,ab,LWF-049-2023,55.9288,-110.667, 2023-04-26 21:40:00,0.5, UC,2023-05-05 16:36:07
114,conus,Spring Prescribed Plan - Alleg,41.6845,-79.3579, ,180.63, Prescribed,2023-05-05 16:36:07
115,ab,LWF-038-2023,55.9048,-110.766, 2023-04-23 18:13:00,56.7, BH,2023-05-05 16:36:07
116,ab,LWF-010-2023,55.9568,-110.715, 2023-04-15 21:24:00,14.0, UC,2023-05-05 16:36:07
117,ab,SWF-019-2023,55.1693,-116.339, 2023-04-25 20:00:00,1.5, UC,2023-05-05 16:36:07
118,ab,EWF-014-2023,53.1571,-116.952, 2023-04-27 02:43:00,0.79, UC,2023-05-05 16:36:07
119,bc,2023-K20103,50.8685,-119.963, 2023-04-28 00:09:00,2.3, UC,2023-05-05 16:36:07
120,nl,523,47.5638,-58.571, 2023-04-27 00:00:00,9.6, UC,2023-05-05 16:36:07
121,ab,RWF-011-2023,53.1048,-115.145, 2023-04-27 23:06:00,7.1, UC,2023-05-05 16:36:07
122,ab,SWF-047-2023,55.3052,-115.298, 2023-04-30 00:50:00,0.1, UC,2023-05-05 16:36:07
123,bc,2023-K60127,50.1435,-120.85, 2023-04-29 19:53:00,38.65, UC,2023-05-05 16:36:07
124,ab,EWF-021-2023,53.5507,-116.803, 2023-04-30 20:11:00,8.72, UC,2023-05-05 16:36:07
125,ab,LWF-078-2023,55.2694,-113.232, 2023-05-01 14:30:00,0.1, UC,2023-05-05 16:36:07
126,bc,2023-G70145,55.7133,-120.643, 2023-04-30 19:45:00,3.9, UC,2023-05-05 16:36:07
127,sk,23PA-OAIR01,52.7143,-106.008, 2023-04-29 14:03:14,1035.0, UC,2023-05-05 16:36:07
128,ab,EWF-017-2023,53.1641,-116.984, 2023-04-30 19:00:00,0.3, UC,2023-05-05 16:36:07
129,ab,EWF-015-2023,53.6828,-115.948, 2023-04-29 20:20:00,46.57, UC,2023-05-05 16:36:07
130,sk,23BN-BRIR01,55.9044,-108.914, 2023-05-01 13:48:10,36.0, UC,2023-05-05 16:36:07
131,ab,RWF-016-2023,52.7619,-115.352, 2023-05-01 00:24:00,0.1, UC,2023-05-05 16:36:07
132,bc,2023-G70169,55.9159,-121.598, 2023-05-02 23:24:00,0.0, BH,2023-05-05 16:36:07
133,bc,2023-G80164,56.5127,-121.964, 2023-05-02 03:29:00,4.0, UC,2023-05-05 16:36:07
134,ab,RWF-012-2023,52.4403,-115.374, 2023-04-28 16:30:00,46.0, UC,2023-05-05 16:36:07
135,bc,2023-N10165,49.1428,-115.101, 2023-05-01 17:27:00,0.1, BH,2023-05-05 16:36:07
136,ab,LWF-047-2023,54.6685,-111.908, 2023-04-26 18:09:00,0.1, UC,2023-05-05 16:36:07
137,nl,103,47.4867,-55.8047, 2023-04-30 00:00:00,4.0, UC,2023-05-05 16:36:07
138,ab,HWF-031-2023,58.4651,-114.543, 2023-05-03 01:16:00,0.3, BH,2023-05-05 16:36:07
139,bc,2023-G10177,53.7618,-122.713, 2023-05-03 18:15:00,2.0, UC,2023-05-05 16:36:07
140,ab,EWF-025-2023,53.4829,-115.224, 2023-05-02 20:26:00,1.8, UC,2023-05-05 16:36:07
141,bc,2023-R30143,54.8733,-127.264, 2023-04-30 01:45:00,3.54, UC,2023-05-05 16:36:07
142,ab,PWF-026-2023,56.5195,-119.298, 2023-05-04 00:21:00,0.2, BH,2023-05-05 16:36:07
143,ab,PMD-002-2023,56.1576,-118.106, 2023-05-02 00:18:00,2.5, BH,2023-05-05 16:36:07
