,agency,firename,lat,lon,startdate,hectares,stage_of_control,timezone,timestamp
226,qc,248,47.9144,-75.7328, 2023-06-01 18:04:00,3000.0, OC, EDT,2023-06-04 20:38:39
227,nb,61884,45.1808,-66.9748, 2023-05-28 20:27:06,540.0, BH, ADT,2023-06-04 20:38:39
228,qc,363,50.1556,-73.9494, 2023-06-02 20:32:00,17.0, BH, EDT,2023-06-04 20:38:39
229,qc,379,50.1667,-73.4733, 2023-06-02 15:00:00,1400.0, OC, EDT,2023-06-04 20:38:39
230,sk,23LX-BOLDING,57.8766,-107.046, 2023-05-20 08:53:09,40520.2, OC, CST,2023-06-04 20:38:39
231,bc,2023-K40591,50.2761,-118.296, 2023-06-03 23:44:00,0.01, BH, PDT,2023-06-04 20:38:39
232,qc,385,49.7144,-69.0931, 2023-06-03 05:00:00,69.8, OC, EDT,2023-06-04 20:38:39
233,bc,2023-C20567,51.9668,-121.788, 2023-06-02 18:24:00,0.01, OC, PDT,2023-06-04 20:38:39
234,qc,294,49.4994,-69.5892, 2023-06-02 00:00:00,0.0, BH, EDT,2023-06-04 20:38:39
235,qc,305,49.7236,-72.6042, 2023-06-01 23:30:00,26.5, OC, EDT,2023-06-04 20:38:39
236,qc,225,48.0569,-75.2647, 2023-06-01 18:30:00,13348.2, OC, EDT,2023-06-04 20:38:39
237,ab,GWF-018-2023,56.2818,-119.162, 2023-05-05 19:25:00,48200.0, OC, MDT,2023-06-04 20:38:39
238,ab,WWF-036-2023,54.333,-116.004, 2023-05-30 23:42:00,0.02, UC, MDT,2023-06-04 20:38:39
239,qc,213,49.7425,-74.9861, 2023-05-31 19:10:00,2400.0, BH, EDT,2023-06-04 20:38:39
240,qc,276,47.2011,-72.7844, 2023-06-01 21:00:00,12.5, UC, EDT,2023-06-04 20:38:39
241,ab,HWF-036-2023,58.4906,-119.403, 2023-05-03 22:26:00,152559.0, OC, MDT,2023-06-04 20:38:39
242,qc,233,49.4347,-77.2211, 2023-06-01 19:33:00,993.7, OC, EDT,2023-06-04 20:38:39
243,qc,256,49.3042,-76.9269, 2023-06-01 20:20:00,64.7, OC, EDT,2023-06-04 20:38:39
244,qc,382,48.2833,-76.0925, 2023-06-01 23:41:00,2500.0, OC, EDT,2023-06-04 20:38:39
245,qc,377,47.5925,-77.9694, 2023-06-02 20:50:00,2.0, OC, EDT,2023-06-04 20:38:39
246,qc,383,49.3883,-71.9906, 2023-06-02 22:00:00,0.0, OC, EDT,2023-06-04 20:38:39
247,qc,283,49.5558,-68.6725, 2023-06-01 05:00:00,1300.0, OC, EDT,2023-06-04 20:38:39
248,qc,351,49.1106,-74.62, 2023-06-02 00:00:00,1227.8, OC, EDT,2023-06-04 20:38:39
249,ab,MWF-023-2023,57.9763,-113.215, 2023-05-28 17:15:00,31110.0, BH, MDT,2023-06-04 20:38:39
250,qc,399,47.4958,-76.6481, 2023-06-02 00:40:00,0.7, BH, EDT,2023-06-04 20:38:39
251,ab,MWF-021-2023,57.6939,-113.296, 2023-05-28 01:40:00,12064.0, BH, MDT,2023-06-04 20:38:39
252,qc,238,47.5953,-76.5986, 2023-06-01 18:06:00,325.5, OC, EDT,2023-06-04 20:38:39
253,qc,321,47.5333,-76.5881, 2023-06-01 18:05:00,0.0, BH, EDT,2023-06-04 20:38:39
254,qc,360,47.4275,-75.9203, 2023-06-02 01:30:00,334.2, OC, EDT,2023-06-04 20:38:39
255,qc,270,49.7208,-68.6069, 2023-06-01 05:00:00,593.5, OC, EDT,2023-06-04 20:38:39
